Key,English(en),French(fr),German(de),Hindi(hi),Italian(it),Polish(pl),Russian(ru),Spanish(es),Ukrainian(uk),Turkish(tr)
persona.business,BUSINESS,AFFAIRES,GESCHÄFTLICH,व्यापार,BUSINESS,BIZNESOWY,ДЕЛОВОЙ,NEGOCIOS,ДІЛОВИЙ,İŞ
persona.casual,CASUAL,DÉCONTRACTÉ,LOCKER,अनौपचारिक,CASUAL,LUŹNY,ВЕСЕЛЫЙ,CASUAL,ВЕСЕЛИЙ,GÜNLÜK
persona.tech,TECH,TECH,TECH,तकनीक,TECH,TECH,ТЕХНОЛОГИЧНЫЙ,TECH,ТЕХНОЛОГІЧНИЙ,TEKNOLOJİ
btn.confirm_mystic,SEAL THE RITUAL,SCELLER LE RITUEL,DAS RITUAL VERSIEGELN,अनुष्ठान को सील करें,SIGILLA IL RITUALE,UPIECZĘTOWANIE RYTUAŁU,ЗАПЕЧАТАТЬ РИТУАЛ,SELLAR EL RITUAL,ЗАПЕЧАТАТІ РИТУАЛ,RİTÜELİ MÜHÜRLE
btn.confirm_tech,COMMIT DATA,ENGAGER LES DONNÉES,DATEN ÜBERTRAGEN,डेटा प्रतिबद्ध करें,COMMIT DEI DATI,ZATWIERDŹ DANE,ЗАФИКСИРОВАТЬ ДАННЫЕ,CONFIRMAR DATOS,ЗБЕРЕГТИ ДАНІ,VERİLERİ İŞLE
btn.confirm_biz,SAVE PROFILE,ENREGISTRER LE PROFIL,PROFIL SPEICHERN,प्रोफ़іль सहेजें,SALVA PROFILO,ZAPISZ PROFIL,СОХРАНИТЬ ПРОФИЛЬ,GUARDAR PERFIL,ЗБЕРЕГТИ ПРОФІЛЬ,PROFİLİ KAYDET
btn.confirm_funny,LET'S GO!,C'EST PARTI !,AUF GEHT'S!,चलो चलें!,ANDIAMO!,LECIMY!,ПОГНАЛИ!,¡VAMOS!,ПОГНАЛИ!,HADİ GİDELİM!
oracle.btn_consult,CONSULT THE ORACLE,CONSULTER L'ORACLE,DEN ORakel BEFRAGEN,ओरेकल से परामर्श लें,CONSULTA L'ORACOLO,KONSULTACJA Z ORACLE,ОБРАТИТЬСЯ К ОРАКУЛУ,CONSULTAR AL ORÁCULO,КОНСУЛЬТАЦІЯ В ОРАКУЛА,ORAKUL'A DANIŞ
essence.confirm.business,SAVE CHANGES,ENREGISTRER LES MODIFICATIONS,ÄNDERUNGEN SPEICHERN,परिवर्तन सुरक्षित करें,SALVA MODIFICHE,ZAPISZ ZMIANY,СОХРАНИТЬ ИЗМЕНЕНИЯ,GUARDAR CAMBIOS,ЗБЕРЕГТИ ЗМІНИ,DEĞİŞİKLİKLERİ KAYDET
essence.confirm.tech,DATA COMMIT,ENGAGEMENT DES DONNÉES,DATEN ÜBERTRAGEN,डेटा प्रतिबद्ध करें,COMMIT DATI,ZATWIERDŹ DANE,ЗАФИКСИРОВАТЬ ДАННЫЕ,CONFIRMAR DATOS,ЗБЕРЕГТИ ДАНІ,VERİLERİ İŞLE
msg.ritual_final_blessing.business,Profile synchronized. The Nexus is optimized for your presence.,Profil synchronisé. Le Nexus est optimisé pour votre présence.,Profil synchronisiert. Der Nexus ist für Ihre Präsenz optimiert.,प्रोफ़ाइल सिंक की गई। नेксस आपकी उपस्थिति для अनुकूलित है।,Profilo sincronizzato. Il Nexus è ottimizzato per la tua presenza.,Profil zsynchronizowany. Nexus jest zoptymalizowany dla Twojej obecności.,Профиль синхронизирован. Нексус оптимизирован под ваше присутствие.,Perfil sincronizado. El Nexus está optimizado para su presencia.,Профіль синхронізовано. Нексус оптимізовано під вашу присутність.,Profil senkronize edildi. Nexus varlığınız için optimize edildi.
init.age_question.business,Please specify your age.,Veuillez préciser votre âge.,Bitte geben Sie Ihr Alter an.,कृपया अपनी आयु निर्दिष्ट करें।,Si prega di specificare l'età.,Proszę podać swój wiek.,Укажите ваш возраст.,"Por favor, especifique su edad.",Вкажіть ваш вік.,Lütfen yaşınızı belirtin.
init.gender_question.business,Select your gender identity.,Sélectionnez votre identité de genre.,Wählen Sie Ihre Geschlechtsidentität.,अपनी लिंग पहचान चुनें।,Seleziona la tua identità di genere.,Wybierz swoją tożsamość płciową.,Выберите вашу гендерную идентичность.,Seleccione su identidad de género.,Оберіть вашу гендерну ідентичність.,Cinsiyet kimliğinizi seçin.
init.location_question.business,Establish your operational zone.,Établissez votre zone opérationnelle.,Legen Sie Ihre Betriebszone fest.,अपना परिचालन क्षेत्र स्थापित करें।,Stabilisci la tua zona operativa.,Ustal swoją strefę operacyjną.,Установите вашу операционную зону.,Establezca su zona operativa.,Встановіть вашу операційну зону.,Operasyonel bölgenizi belirleyin.
init.age_question.casual,How many years have you been rocking this planet?,Depuis combien d'années déchirez-vous sur cette planète ?,Seit wie vielen Jahren rockst du schon diesen Planeten?,आप कितने वर्षों से इस ग्रह पर धूम मचा रहे हैं?,Da quanti anni spacchi su questo pianeta?,Od ilu lat rządzisz na tej planecie?,Сколько лет ты уже зажигаешь на этой планете?,¿Cuántos años llevas dándolo todo en este planeta?,Скільки років ти вже запалюєш на цій планеті?,Kaç yıldır bu gezegeni sallıyorsun?
msg.ritual_final_blessing.casual,Boom! Your Aura is ready to shine. Catch you in the Nexus!,Boum ! Votre Aura est prête à briller. On se voit dans le Nexus !,Boom! Deine Aura ist bereit zu strahlen. Wir sehen uns im Nexus!,बूम! आपकी आभा चमकने के लिए तैयार है। नेक्सस में मिलते हैं!,Boom! La tua Aura est pronta a splendere. Ci vediamo nel Nexus!,"Bum! Twoja Aura jest gotowa, by lśnić. Do zobaczenia w Nexusie!",Бум! Твоя Аура готова сиять. Увидимся в Нексусе!,¡Boom! Tu Aura está lista para brillar. ¡Nos vemos en el Nexus!,Бум! Твоя Аура готова сяяти. Побачимося в Нексусі!,Boom! Auran parlamaya hazır. Nexus'ta görüşürüz!
tag.purity,Purity,Pureté,Reinheit,शुद्धता,Purezza,Czystość,Чистота,Pureza,Чистота,Saflık
tag.chaos,Chaos,Chaos,Chaos,अव्यवस्था,Chaos,Chaos,Хаос,Caos,Хаос,Kaos
tag.fintech,FinTech,FinTech,FinTech,फिनटेक,FinTech,FinTech,ФинТех,FinTech,ФінТех,FinTek
tag.architecture,Architecture,Architecture,Architektur,वास्तुकला,Architettura,Architektura,Архитектура,Arquitectura,Архітектура,Mimari
tag.efficiency,Efficiency,Efficacité,Effizienz,दक्षता,Efficienza,Efektywność,Эффективность,Eficiencia,Ефективність,Verimlilik
tag.scaling,Scaling,Mise à l'échelle,Skalierung,स्केलिंग,Scaling,Skalowanie,Масштабирование,Escalado,Масштабування,Ölçekleme
tag.data,Data,Données,Daten,डेटा,Dati,Dane,Данные,Datos,Дані,Veri
tag.investment,Investment,Investissement,Investition,निवेश,Investimento,Inwestycja,Инвестиции,Inversión,Інвестиції,Yatırım
tag.production,Production,Production,Produktion,उत्पादन,Produzione,Produkcja,Производство,Producción,Виробництво,Üretim
tag.systems,Systems,Systèmes,Systeme,सिस्टम,Sistemi,Systemy,Системы,Sistemas,Системи,Sistemler
tag.craftsmanship,Craftsmanship,Artisanat,Handwerkskunst,शिल्पकला,Artigianato,Rzemiosło,Мастерство,Artesanía,Майстерність,Ustalık
tag.cybernetics,Cybernetics,Cybernétique,Kybernetik,साइबरनेटिक्स,Cibernetica,Cybernatyka,Кибернетика,Cibernética,Кібернетика,Sibernetik
tag.result_oriented,Result-Oriented,Orienté résultat,Ergebnisorientiert,परिणाम उन्मुख,Orientato ai risultati,Zorientowany na wyniki,Ориентация на результат,Orientado a resultados,Орієнтація на результат,Sonuç Odaklı
tag.intuition,Intuition,Intuition,Intuition,अंतर्ज्ञान,Intuizione,Intuicja,Интуиция,Intuición,Інтуїція,Sezgi
tag.poetry,Poetry,Poésie,Poesie,कविता,Poesia,Poezja,Поэзия,Poesía,Поезія,Şiir
tag.dreamwork,Dreamwork,Travail des rêves,Traumarbeit,सपना काम,Lavoro onirico,Praca ze snami,Работа со снами,Trabajo onírico,Робота зі снами,Rüya Çalışması
tag.metaphysics,Metaphysics,Métaphysique,Metaphysik,तत्वमीмаंसा,Metafisica,Metafizyka,Метафизика,Metafísica,Метафізика,Metafizik
tag.storytelling,Storytelling,Storytelling,Storytelling,कहानी सुनाना,Storytelling,Storytelling,Сторителлинг,Storytelling,Сторітелінг,Hikaye Anlatımı
tag.improvisation,Improvisation,Improvisation,Improvisation,आशुभाषण,Improvvisazione,Improwizacja,Импровизация,Improvisación,Імпровізація,Doğaçlama
tag.philosophy,Philosophy,Philosophie,Philosophie,दर्शन,Filosofia,Filozofia,Философия,Filosofía,Філософія,Felsefe
tag.empathy,Empathy,Empathie,Empathie,सहानुभूति,Empatia,Empatia,Эмпатия,Empatía,Емпатія,Empati
tag.soundscapes,Soundscapes,Paysages sonores,Soundscapes,साउंडस्केप,Paesaggi sonori,Pejzaże dźwiękowe,Звуковые ландшафты,Paisajes sonoros,Звукові ландшафти,Ses Manzaraları
tag.biohacking,Biohacking,Biohacking,Biohacking,बायोहैकिंग,Biohacking,Biohacking,Биохакинг,Biohacking,Біохакінг,Biyo-hackleme
tag.yoga,Yoga,Yoga,Yoga,योग,Yoga,Joga,Йога,Yoga,Йога,Yoga
tag.nutrition,Nutrition,Nutrition,Ernährung,पोषण,Nutrizione,Odżywianie,Нутрициология,Nutrición,Нутриціологія,Beslenme
tag.nature,Nature,Nature,Natur,प्रकृति,Natura,Natura,Природа,Naturaleza,Природа,Doğa
tag.longevity,Longevity,Longévité,Langlebigkeit,दीर्घायु,Longevità,Długowieczność,Долголетие,Longevidad,Довголіття,Uzun Ömür
tag.breathwork,Breathwork,Travail respiratoire,Atemarbeit,सांस का काम,Respirazione,Praca z oddechem,Дыхательные практики,Respiración,Дихальні практики,Nefes Çalışması
tag.sport,Sport,Sport,Sport,खेल,Sport,Sport,Спорт,Deporte,Спорт,Spor
tag.regeneration,Regeneration,Régénération,Regeneration,पुनरुद्धार,Rigenerazione,Regeneracja,Регенерация,Regeneración,Регенерація,Rejenerasyon
tag.equilibrium,Equilibrium,Équilibre,Gleichgewicht,संतुलन,Equilibrio,Równowaga,Равновесие,Equilibrio,Рівновага,Denge
tag.herbalism,Herbalism,Herboristerie,Kräuterkunde,जड़ी-बूटी,Erboristeria,Zielarstwo,Травничество,Herboristería,Травництво,Bitkisel Tedavi
tag.vitality,Vitality,Vitalité,Vitalität,जीवंतता,Vitalità,Witalność,Жизненная энергия,Vitalidad,Життєва енергія,Canlılık
tag.mindfulness,Mindfulness,Pleine conscience,Achtsamkeit,सजगता,Consapevolezza,Uważność,Осознанность,Atención plena,Усвідомленість,Farkındalık
tag.organic,Organic,Bio,Bio,जैविक,Biologico,Organiczny,Органика,Orgánico,Органіка,Organik
tag.sustainability,Sustainability,Durabilité,Nachhaltigkeit,सततता,Sostenibilità,Zrównoważony розвиток,Устойчивость,Sostenibilidad,Сталий розвиток,Sürdürülebilirlik
tag.mentorship,Mentorship,Mentorat,Mentoring,परामर्श,Mentorship,Mentoring,Менторство,Mentoría,Менторство,Mentorluk
tag.leadership,Leadership,Leadership,Führung,नेतृत्व,Leadership,Przywództwo,Лидерство,Liderazgo,Лідерство,Liderlik
tag.community,Community,Communauté,Gemeinschaft,समुदाय,Comunità,Społeczność,Сообщество,Comunidad,Спільнота,Topluluk
tag.networking,Networking,Networking,Networking,नेटवर्किंग,Networking,Networking,Нетворкинг,Networking,Нетворкінг,Ağ Kurma
tag.collaboration,Collaboration,Collaboration,Zusammenarbeit,सहयोग,Collaborazione,Współpraca,Коллаборация,Colaboración,Колаборація,İşbirliği
tag.education,Education,Éducation,Bildung,शिक्षा,Educazione,Edukacja,Образование,Educación,Освіта,Eğitim
tag.diplomacy,Diplomacy,Diplomatie,Diplomatie,कूटनीति,Diplomazia,Dyplomacja,Дипломатия,Diplomacia,Дипломатія,Diplomasi
tag.tribal,Tribal,Tribal,Tribal,कबीले,Tribale,Plemienny,Трайбализм,Tribal,Трайбалізм,Kabile
tag.altruism,Altruism,Altruisme,Altruismus,परोपकार,Altruismo,Altruizm,Альтруизм,Altruismo,Альтруїзм,Özgecilik
tag.public_speaking,Public Speaking,Prise de parole,Rhetorik,सार्वजनिक भाषण,Parlare in pubblico,Wystąpienia publiczne,Публичные выступления,Oratoria,Публічні виступи,Hitabet
tag.psychology,Psychology,Psychologie,Psychologie,मनोविज्ञान,Psicologia,Psychologia,Психология,Psicología,Психологія,Psikoloji
tag.event_making,Event-making,Organisation d'événements,Event-Management,इवेंट मेकिंग,Organizzazione eventi,Organizowanie wydarzeń,Организация событий,Organización de eventos,Організація подій,Etkinlik Organizasyonu
tag.social,Social,Social,Sozial,सामाजिक,Sociale,Społeczny,Социальный,Social,Соціальний,Sosyal
tag.wellness,WELLNESS,BIEN-ÊTRE,WELLNESS,कल्याण,BENESSERE,WELLNESS,ГАРМОНИЯ,BIENESTAR,ГАРМОНІЯ,SAĞLIK
init.cat_wellness,WELLNESS,BIEN-ÊTRE,WELLNESS,कल्याण,BENESSERE,WELLNESS,ГАРМОНИЯ,BIENESTAR,ГАРМОНІЯ,SAĞLIK
init.cat_social,SOCIAL,SOCIAL,SOZIAL,सामाजिक,SOCIALE,SPOŁECZNY,СОЦИАЛЬНЫЙ,SOCIAL,СПІВТВОРЧІСТЬ,SOSYAL
nav.radar.business,PROSPECTS,PERSPECTIVES,PROSPEKTE,संभावनाएं,PROSPETTIVE,PROSPEKTY,ПЕРСПЕКТИВЫ,PROSPECTOS,ПЕРСПЕКТИВИ,POTANSİYELLER
nav.radar.casual,WHO'S NEAR?,QUI EST LÀ ?,WER IST DA?,आस-पास कौन है?,CHI C'È?,KTO JEST BLISKO?,КТО РЯДОМ?,¿QUIÉN ESTÁ CERCA?,ХТО ПОРУЧ?,KİMLER VAR?
nav.radar.tech,SCANNER,SCANNEUR,SCANNER,स्कैनर,SCANNER,SKANER,СКАНЕР,ESCÁNER,СКАНЕР,TARAYICI
radar.ready.business,READY FOR NETWORKING,PRÊT POUR LE RÉSEAUTAGE,BEREIT FÜR NETZWERKEN,नेटवर्किंग के लिए तैयार,PRONTO PER IL NETWORKING,GOTOWY DO NETWORKINGU,ГОТОВ К НЕТВОРКИНГУ,LISTO PARA NETWORKING,ГОТОВИЙ ДО НЕТВОРКІНГУ,AĞ KURMAYA HAZIR
radar.ready.casual,WHO'S AROUND?,QUI EST LÀ ?,WER IST DA?,आस-पास कौन है?,CHI C'È IN GIRO?,KTO JEST W ПОБЛИЗУ?,КТО РЯДОМ?,¿QUIÉN ESTÁ CERCA?,ХТО ПОРУЧ?,KİM VAR?
radar.ready.tech,SIGNAL STABLE,SIGNAL STABLE,SIGNAL STABIL,सिग्नल स्थिर,SEGNALE STABILE,SYGNAŁ STABILNY,СИГНАЛ СТАБИЛЕН,SEÑAL ESTABLE,СИГНАЛ СТАБІЛЬНИЙ,SİNYAL STABIL
radar.searching.business,ANALYZING MARKET...,ANALYSE DU MARCHÉ...,MARKTANALYSE...,बाजार का विश्लेषण...,ANALISI DI MERCATO...,ANALIZA RYNKU...,АНАЛИЗ РЫНКА...,ANALIZANDO MERCADO...,АНАЛІЗ РИНКУ...,PAZAR ANALİZİ...
radar.searching.casual,LOOKING FOR VIBES...,RECHERCHE DE VIBES...,SUCHE NACH VIBES...,वाइब्स की खोज...,CERCO VIBE...,SZUKAM VIBE'U...,ИЩУ ВАЙБ...,BUSCANDO VIBES...,ШУКАЮ ВАЙБ...,VIBE ARANIYOR...
radar.searching.tech,PINGING NODES...,PING DES NOEUDS...,KNOTEN-PING...,नोड्स को पिंग कर रहा है...,PING DEI NODI...,PINGOWANIE WĘЗЛІВ...,ПИНГ УЗЛОВ...,PING DE NODOS...,ПІНГ ВУЗЛІВ...,DÜĞÜMLER PİNGLENİYOR...
radar.start_pulse.business,CONNECT,CONNECTER,VERBINDEN,जुड़ें,CONNETTI,POŁĄCZ,СВЯЗАТЬСЯ,CONECTAR,ЗВ'ЯЗАТИСЯ,BAĞLAN
radar.start_pulse.casual,SAY HI,DIS SALUT,SAG HALLO,नमस्ते कहें,DI' CIAO,POWIEDZ CZEŚĆ,ПРИВЕТСТВОВАТЬ,DI HOLA,ПРИВІТАТИСЯ,SELAM VER
radar.start_pulse.tech,UPLINK,UPLINK,UPLINK,अपलिंक,UPLINK,UPLINK,АПЛИНК,UPLINK,АПЛІНК,UPLINK
persona.voice.mystic,THE MYSTIC VOICE,LA VOIX MYSTIQUE,DIE MYSTISCHE STIMME,रहस्यमय आवाज,LA VOCE MISTICA,MISTYCZNY GŁOS,МИСТИЧЕСКИЙ ГОЛОС,LA VOZ MÍSTICA,МІСТИЧНИЙ ГОЛОС,MİSTİK SES
persona.voice.business,THE BUSINESS VOICE,LA VOIX DES AFFAIRES,DIE GESCHÄFTSTIMME,व्यावसायिक आवाज,LA VOCE BUSINESS,GŁOS BIZNESOWY,ДЕЛОВОЙ ГОЛОС,LA VOЗ DE NEGOCIOS,ДІЛОВИЙ ГОЛОС,İŞ SESİ
persona.voice.casual,THE CASUAL VOICE,LA VOIX DÉCONTRACTÉE,DIE LOCKERE STIMME,अनौपचारिक आवाज,LA VOCE CASUAL,LUŹNY GŁOS,ПРИЯТЕЛЬСКИЙ ГОЛОС,LA VOZ CASUAL,ДРУЖНІЙ ГОЛОС,GÜNLÜK SES
persona.voice.tech,THE TECH VOICE,LA VOIX TECH,DIE TECH-STIMME,तकनीकी आवाज,LA VOCE TECH,GŁOS TECH,ТЕХНО-ГОЛОС,LA VOZ TECH,ТЕХНО-ГОЛОС,TEKNOLOJİ SESİ
essence.header.business,DEFINE CORE COMPETENCIES,DÉFINIR LES COMPÉTENCES CLÉS,KERNKOMPETENZEN DEFINIEREN,प्रमुख दक्षताओं को परिभाषित करें,DEFINISCI LE COMPETENZE CHIAVE,ZDEFINIUJ KLUCZOWE KOMPETENCJE,ОПРЕДЕЛИТЕ КЛЮЧЕВЫЕ КОМПЕТЕНЦИИ,DEFINE COMPETENCIAS CLAVE,ВИЗНАЧТЕ КЛЮЧОВІ КОМПЕТЕНЦІЇ,TEMEL YETERLİLİKLERİ TANIMLAYIN
essence.header.casual,SHOW YOUR VIBE,MONTRE TON VIBE,ZEIG DEINEN VIBE,अपना वाइб दिखाएं,MOSTRA IL TUO VIBE,POKAZ SWOJ VIBE,ПОКАЖИ СВОЙ ВАЙБ,MUESTRA TU VIBE,ПОКАЖИ СВІЙ ВАЙБ,TARZINI GÖSTER
essence.header.tech,CONFIGURE ATTRIBUTE MATRIX,CONFIGURER LA MATRICE D'ATTRIBUTS,ATTRIBUTMATRIX KONFIGURIEREN,विशेषता मैट्रिक्स कॉन्फ़िगर करें,CONFIGURA LA MATRICE DEGLI ATTRIBUTI,SKONFIGURUJ MACIERZ ATRYBUTÓW,НАСТРОЙТЕ МАТРИЦУ АТРИБУТОВ,CONFIGURAR MATRIZ DE ATRIBUTOS,НАЛАШТУЙТЕ МАТРИЦЮ АТРИБУТІВ,ÖZNİTELİK MATRİSİNİ YAPILANDIRIN
essence.confirm.casual,READY!,C'EST BON !,FERTIG!,तैयार!,PRONTO!,GOTOWE!,ГОТОВО!,¡LISTO!,ГОТОВО!,HAZIR!
msg.sample_text,The Aura resonates through time and space.,L'Aura résonne à travers le temps et l'espace.,Die Aura schwingt durch Zeit und Raum.,आभा समय और स्थान के माध्यम से प्रतिध्वनित होती है।,L'Aura risuona nel tempo e nello spazio.,Aura rezonuje w czasie i przestrzeni.,Аура резонирует сквозь время и пространство.,L'Aura resuena a través del tiempo y el espacio.,Аура резонує крізь час і простір.,Aura zaman ve mekanda yankılanıyor.
lbl.scale_small,SMALL,PETIT,KLEIN,छोटा,PICCOLO,MAŁY,МАЛЕНЬКИЙ,PEQUEÑO,МАЛИЙ,KÜÇÜK
lbl.scale_medium,MEDIUM,MOYEN,MITTEL,मध्यम,MEDIO,ŚREDNI,СРЕДНИЙ,MEDIO,СЕРЕДНІЙ,ORTA
lbl.scale_large,LARGE,GRAND,GROSS,बड़ा,GRANDE,DUŻY,КРУПНЫЙ,GRANDE,ВЕЛИКИЙ,BÜYÜK
oracle.scale_intro,"Before we begin, adjust your spiritual sight.","Avant de commencer, ajuste ta vision spirituelle.","Bevor wir beginnen, pass deine geistige Sicht an.","शुरू करने से पहले, अपनी आध्यात्मिक दृष्टि को समायोजित करें।","Prima di iniziare, regola la tua vista spirituale.","Zanim zaczniemy, dostosuj swój duchowy wzrok.","Прежде чем мы начнем, настрой свой духовный взор.","Antes de comenzar, ajusta tu visión espiritual.","Перш ніж ми почнемо, налаштуйте свій духовний зір.","Başlamadan önce, ruhsal görüşünü ayarla."
btn.align_sight,ALIGN SIGHT,ALIGNER LA VUE,SICHT AUSRICHTEN,दृष्टि संरेखित करें,ALLINEA LA VISTA,DOPASUJ WZROK,НАСТРОИТЬ ВЗОР,ALINEAR LA VISTA,НАЛАШТУВАТЬ ВЗІР,GÖRÜŞÜ HİZALA
nav.oracle,ORACLE,ORACLE,ORAKEL,ओरेकल,ORACOLO,WYROCZNIA,ОРАКУЛ,ORÁCULO,ОРАКУЛ,KAHİN
term.symmetry_detected.mystic,A soul resonance is felt in the ether.,Résonance d'âme dans l'éther.,Seelenresonanz im Äther.,ईथर में आत्मा की गूँज।,Risonanza dell'anima nell'etere.,Rezonans duszy w eterze.,Резонанс души в эфире.,Resonancia del alma en el éter.,Резонанс душі в ефірі.,Eterde ruh rezonansı.
msg.prophecy_wait.mystic,Awaiting the sacred breath...,Attente du souffle sacré...,Warten auf den heiligen Atem...,पवित्र श्वास की प्रतीक्षा है...,In attesa del respiro sacro...,Oczekiwanie na święty oddech...,Ожидание священного дыхания...,Esperando el aliento sagrado...,Очікування священного подиху...,Kutsal nefes bekleniyor...
msg.prophecy_wait.business,Initializing verification protocol...,Initialisation du protocole...,Verifizierungsprotokoll wird gestartet...,सत्यापन प्रोटोकॉल प्रारंभ हो रहा है...,Inizializzazione protocollo...,Inicjowanie protokołu weryfikacji...,Инициализация протокола проверки...,Iniciando protocolo de verificación...,Ініціалізація протоколу перевірки...,Doğrulama protokolü başlatılıyor...
msg.prophecy_wait.casual,"Hang tight, checking stuff...","Attends, je vérifie...","Warte kurz, ich checke das...","रुको, चीजें जाँच रहा हूँ...","Aspetta, sto controllando...","Czekaj chwilę, sprawdzam...","Погоди, сейчас всё проверю...","Espera, estoy revisando...","Почекай, зараз все перевірю...","Bekle, kontrol ediliyor..."
msg.prophecy_wait.tech,WAITING_FOR_DATA_PACKETS...,ATTENTE_PAQUETS_DONNÉES...,WARTE_AUF_DATENPAKETE...,डेटा_पैकेट_की_प्रतीक्षा...,ATTESA_PACCHETTI_DATI...,OCZEKIWANIE_NA_PAKIETY...,ОЖИДАНИЕ_ПАКЕТОВ_ДАННЫХ...,ESPERANDO_PAQUETES_DE_DATOS...,ОЧІКУВАННЯ_ПАКЕТІВ_ДАНИХ...,VERI_PAKETLERI_BEKLENIYOR...
msg.ritual_final_blessing.mystic,Your path is sealed. Welcome.,Ton chemin est scellé. Bienvenue.,Dein Weg ist besiegelt. Willkommen.,आपका मार्ग सुरक्षित है। स्वागत है।,Il tuo cammino è segnato. Benvenuto.,Twoja ścieżka jest zapieczętowana. Witaj.,Твой путь скреплен печатяю. Добро пожаловать.,Tu camino está sellado. Bienvenido.,Твій шлях скріплений печаткою. Ласкаво просимо.,Yolun mühürlendi. Hoş geldin.
msg.ritual_final_blessing.tech,SYSTEM_READY. INITIALIZING_INTERFACE...,SYSTÈME_PRÊT. INITIALISATION...,SYSTEM_BEREIT. INITIALISIERUNG...,सिस्टम_तैयार। इंटरफ़ेस_प्रारंभ...,SISTEMA_PRONTO. INIZIALIZZAZIONE...,SYSTEM_GOTOWY. INICJOWANIE...,СИСТЕМА_ГОТОВА. ЗАПУСК_ИНТЕРФЕЙСА...,SISTEMA_LISTO. INICIALIZANDO...,СИСТЕМА_ГОТОВА. ЗАПУСК_ІНТЕРФЕЙСУ...,SISTEM_HAZIR. ARAYÜZ_BAŞLATILIYOR...
essence.confirm.business,COMMIT CHANGES,VALIDER,ÄNDERUNGEN ÜBERNEHMEN,परिवर्तन स्वीकार करें,APPLICA MODIFICHE,ZATWIERDŹ ZMIANY,ПОДТВЕРДИТЬ,CONFIRMAR CAMBIOS,ПІДТВЕРДИТИ ЗМІНИ,DEĞİŞІKLІKLERІ ONAYLA
essence.confirm.tech,EXECUTE_AUTH_SEQUENCE,EXEC_SEQUENCE_AUTH,AUTH-SEQUENZ_AUSFÜHREN,प्रमाणीकरण_अनुक्रम_निष्पादित_करें,ESEGUI_SEQUENZA_AUTH,WYKONAJ_SEKWENCJĘ_AUTORYZACJI,ЗАПУСТИТЬ_ПОСЛЕДОВАТЕЛЬНОСТЬ_АВТОРИЗАЦИИ,EJECUTAR_SECUENCIA_DE_AUTENTICACIÓN,ЗАПУСТИТИ_ПОСЛІДОВНІСТЬ_АВТОРИЗАЦІЇ,YETKILENDIRME_DIZISINI_YURUT
essence.confirm.mystic,SEAL THE AURA,SCELLER L'AURA,DIE AURA VERSIEGELN,आभा को सुरक्षित करें,SIGILLA L'AURA,ZAPIECZĘTUJ AURĘ,СКРЕПИТЬ АУРУ,SELLAR EL AURA,СКРІПИТИ АУРУ,AURAYI MÜHÜRLE
title.initiate,INITIATE,INITIÉ,INITIAND,दीक्षित,INIZIATO,NOWICJUSZ,ПОСВЯЩЕННЫЙ,INICIADO,ПОСВЯЧЕНИЙ,BAŞLANGIÇ
title.initiate.mystic,SEEKER,CHERCHEUR,SUCHENDER,साधक,CERCATORE,POSZUKIWACZ,ИСКАТЕЛЬ,BUSCADOR,ШУКАЧ,ARAYICI
title.initiate.business,JUNIOR,JUNIOR,JUNIOR,जूनियर,JUNIOR,JUNIOR,МЛАДШИЙ,JUNIOR,МОЛОДШИЙ,JUNIOR
title.initiate.tech,USER,UTILISATEUR,BENUTZER,उपयोगकर्ता,UTENTE,UŻYTKOWNIK,ПОЛЬЗОВАТЕЛЬ,USUARIO,КОРИСТУВАЧ,KULLANICI
title.initiate.casual,NEWBIE,NOVICE,NEULING,नौसिखिया,PRINCIPIANTE,NOWICJUSZ,НУБАС,NOVATO,НУБ,ÇAYLAK
title.master,MASTER,MAÎTRE,MEISTER,मास्टर,MAESTRO,MISTRZ,МАСТЕР,MAESTRO,МАЙСТЕР,USTA
title.master.mystic,ARCHMAGE,ARCHIMAGE,ERZMAGIER,महाजादूगर,ARCIMAGO,ARCIMAG,АРХИМАГ,ARCHIMAGO,АРХІМАГ,BAŞBÜYÜCÜ
title.master.business,MANAGER,MANAGER,MANAGER,प्रबंधक,MANAGER,MENEDŻER,МЕНЕДЖЕР,GERENTE,МЕНЕДЖЕР,MÜDÜR
title.master.tech,DEVELOPER,DÉVELOPPEUR,ENTWICKLER,डेवलपर,SVILUPPATORE,DEWELOPER,РАЗРАБОТЧИК,DESARROLLADOR,РОЗРОБНИК,GELİŞTİRİCİ
title.master.casual,BOSS,CHEF,BOSS,बॉस,CAPO,SZEF,БОСС,JEFE,БОС,PATRON
title.elder,ELDER,ANCIEN,ÄLTESTER,बुजुर्ग,ANZIANO,STARSZY,СТАРЕЙШИНА,ANCIANO,СТАРІЙШИНА,BÜYÜK
title.elder.mystic,SAGE,SAGE,WEISER,ऋषि,SAGGIO,MĘDRZEC,МУДРЕЦ,SABIO,МУДРЕЦЬ,BİLGE
title.elder.business,DIRECTOR,DIRECTEUR,DIREKTOR,निदेशक,DIRETTORE,DYREKTOR,ДИРЕКТОР,DIRECTOR,ДИРЕКТОР,DİREKTÖR
title.elder.tech,ROOT,RACINE,ROOT,रूट,ROOT,ROOT,РУТ,RAÍZ,РУТ,KÖK
title.elder.casual,BOOMER,BOOMER,BOOMER,बूमर,BOOMER,BOOMER,БУМЕР,BOOMER,БУМЕР,BOOMER
